setor,n,potencial_medio_rs,score_medio,exposicao_media
financeiro,37,2460058366.7756457,19.82266625442892,0.19129008652380755
varejo,48,1788171426.6592016,28.074980608895487,0.2228272127588601
industria,65,1314736935.573907,24.380420474123405,0.21925186098662952
commodities,58,1178363692.0205178,13.968311057577623,0.1257946731333954
saude_educacao,35,454390484.88418,20.62387198784341,0.21583319797792463
utilities,97,397311064.1805662,11.582104296904754,0.11075425928716387
outros,56,313735094.54513615,14.588409242101557,0.14585333722617794
tecnologia,17,216405144.37507007,43.697279047654035,0.3154128064490448
construcao,49,143930382.1807135,16.908187912962692,0.21260530300889918
