cenario,rho,viavel_total_rs,final_total_rs,final_vs_base,final_mediana_pct_receita,spearman_rank_vs_base,empresas_que_trocam_de_posicao
conservador,0.5,318333817538.4176,296424818046.4728,0.7142857142857143,4.2702766946419075,0.9999999999999999,0
base,0.7,445667344553.78455,414994745265.0619,1.0,5.978387372498672,0.9999999999999999,0
otimista,0.9,573000871569.1516,533564672483.651,1.2857142857142858,7.686498050355436,0.9999999999999999,0
