cenario,rho,viavel_total_rs,final_total_rs,final_vs_base,final_mediana_pct_receita,spearman_rank_vs_base,empresas_que_trocam_de_posicao
conservador,0.5,316542925304.33923,295286331908.6104,0.7142857142857142,4.634881476695294,0.9999999999999998,0
base,0.7,443160095426.07495,413400864672.0546,1.0,6.488834067373411,0.9999999999999998,0
otimista,0.9,569777265547.8105,531515397435.4988,1.2857142857142856,8.34278665805153,0.9999999999999998,0
