CD_CVM,rank,DENOM_CIA,setor,score_0_100,score_bruto,obj1_teto_rs,obj1_teto_pct_receita,obj1_0_100,obj2_potencial_viavel_rs,obj2_viavel_pct_receita,obj2_desconto_financeiro_rs,obj2_0_100,obj3_potencial_final_rs,obj3_viavel_pct_receita,obj3_boost_readiness_rs,obj3_0_100,exposicao,exposicao_0_100,f_fin,f_fin_0_100,readiness,readiness_0_100,mult_setor,rho_captura,fator_execucao,obj2_desconto_captura_rs,obj2_desconto_total_rs,obj3_ajuste_execucao_rs,receita,sga,vendas,pessoal,cpv,pdd,estoques,caixa,divida_liquida,ebitda,ativo_total,valor_sga_rs,valor_vendas_rs,valor_pessoal_rs,valor_cpv_rs,valor_pdd_rs,valor_estoques_rs,contrib_sga,contrib_vendas,contrib_pessoal,contrib_cpv,contrib_pdd,contrib_estoques,caixa_sobre_ativo,dl_sobre_ebitda,valido
22519,11.0,TECHNOS S.A.,tecnologia,45.756624848029695,0.18092623862983176,161641968.0,33.78641244254562,23.72448979591837,101834439.84,21.28543983880374,16164196.799999997,36.734693877551024,86559273.86400001,18.092623862983178,-15275165.975999996,36.734693877551024,0.33786412442545616,89.54081632653062,0.9,90.0,0.0,0.0,1.2,0.7,0.85,43643331.360000014,59807528.16,-15275165.975999996,478423000.0,41102000.0,125961000.0,93288000.0,216758000.0,,154094000.0,37264000.0,56860000.0,86622000.0,693048000.0,14796720.0,48369024.0,39180960.0,26010960.0,0.0,33284304.0,0.030928111733758618,0.10110095877497528,0.08189606268929378,0.05436812193393712,0.0,0.06957086929349132,0.053768281562027447,0.6564152293874536,True
27766,12.0,UNIÃO PET PARTICIPAÇÕES S.A.,tecnologia,45.04410604601033,0.17820916892599667,902666580.0,29.95112082789861,64.54081632653062,631866606.0,20.965784579529025,0.0,77.55102040816327,537086615.1,17.820916892599673,-94779990.89999998,77.55102040816327,0.29951120827898603,82.39795918367348,1.0,100.0,0.0,0.0,1.2,0.7,0.85,270799974.00000006,270799974.0,-94779990.89999998,3013799000.0,261122000.0,883819000.0,440693000.0,1652585000.0,,397569000.0,451624000.0,-451624000.0,474630000.0,2723337000.0,94003920.0,339386496.0,185091060.0,198310200.0,0.0,85874904.0,0.031191171010409118,0.11261085958287198,0.06141453361687358,0.06580073853631248,0.0,0.028493905532518925,0.16583478284178566,-0.9515285590881318,True
8753,13.0,METISA METALURGICA TIMBOENSE S.A.,tecnologia,45.00460011115398,0.17805851973833217,159378058.908,29.924396195855074,23.46938775510204,111564641.2356,20.947077337098552,0.0,40.56122448979592,94834398.87037054,17.80585197383322,-16730242.365229458,39.795918367346935,0.29924396195855074,82.14285714285714,1.0,100.0,0.00024194806576516704,0.024194806576516705,1.2,0.7,0.8500399214308513,47813417.672400005,47813417.6724,-16730242.365229458,532602422.0,36348659.0,50395875.0,108472605.0,412590423.0,,147551763.0,230694014.0,-64289864.0,49501730.0,615028682.0,13085517.24,19352016.0,45558494.1,49510850.76,0.0,31871180.808,0.024569015647472967,0.03633482537937088,0.08553940466309032,0.09296024335390649,0.0,0.0598404729147101,0.375094724444087,-1.298739741015112,True
13765,14.0,MINUPAR PARTICIPACOES S.A.,tecnologia,44.83523645663868,0.17741268014320835,129896172.0,29.76921236455641,19.387755102040817,90927320.39999999,20.83844865518948,0.0,33.92857142857143,77412958.5044081,17.741268014320834,-13514361.895591885,33.92857142857143,0.297692123645564,81.37755102040816,1.0,100.0,0.008314077118548402,0.8314077118548402,1.2,0.7,0.8513718227245605,38968851.60000001,38968851.60000001,-13514361.895591885,436344000.0,28349000.0,20409000.0,160827000.0,317295000.0,,28846000.0,40891000.0,-40891000.0,193681000.0,434059000.0,10205640.0,7837056.0,67547340.0,38075400.0,0.0,6230736.0,0.02338897750398768,0.017960728232770475,0.15480295363291346,0.0872600517023266,0.0,0.014279412573565811,0.09420608719091184,-0.21112551050438608,True
21440,15.0,VESTE S.A. ESTILO,tecnologia,43.932547029514765,0.17397042698798,479884704.0,38.98496963316078,48.724489795918366,251939469.6,20.46710905740941,119971176.0,61.224489795918366,214148549.16,17.397042698798,-37790920.44,61.224489795918366,0.3898496963316078,94.89795918367348,0.75,75.0,0.0,0.0,1.2,0.7,0.85,107974058.40000002,227945234.4,-37790920.44,1230948000.0,177530000.0,523439000.0,271930000.0,447248000.0,,218023000.0,40503000.0,427815000.0,261671000.0,1655516000.0,63910800.0,201000576.0,114210600.0,53669760.0,0.0,47092968.0,0.05191998362237885,0.16328925023640317,0.09278263582214683,0.043600347049591044,0.0,0.03825747960108794,0.024465483873305965,1.6349347080876369,True
4669,16.0,GUARARAPES CONFECCOES S.A.,outros,43.923830189349786,0.17393718679521833,3068616220.0,29.23314063785183,84.94897959183673,2148031354.0,20.463198446496282,0.0,92.09183673469387,1825826650.8999999,17.39371867952184,-322204703.10000014,92.09183673469387,0.29233140637851823,80.61224489795919,1.0,100.0,0.0,0.0,1.0,0.7,0.85,920584866.0000001,920584866.0,-322204703.10000014,10497046000.0,1452660000.0,3879079000.0,1972470000.0,4114271000.0,,1609563000.0,1415443000.0,3511049000.0,3134225000.0,14872670000.0,435798000.0,1241305280.0,690364500.0,411427100.0,0.0,289721340.0,0.04151625133394671,0.11825281893591778,0.06576750259072885,0.03919456006956624,0.0,0.02760027344835871,0.09517073934942415,1.1202287646866451,True
26506,17.0,LUPO S.A.,outros,43.83203828409701,0.17358715392013802,463846780.0,29.174221344470162,47.704081632653065,324692746.0,20.421954941129115,0.0,65.05102040816327,275989687.7607058,17.358715392013803,-48703058.23929417,65.05102040816327,0.29174221344470164,80.35714285714286,1.0,100.0,1.593414485259794e-05,0.0015934144852597942,1.0,0.7,0.8500026291339007,139154034.00000003,139154034.0,-48703058.23929417,1589920000.0,102106000.0,235261000.0,486358000.0,1110911000.0,8299000.0,407197000.0,316071000.0,-137908000.0,214200000.0,1782336000.0,30631800.0,75283520.0,170225300.0,111091100.0,3319600.0,73295460.0,0.019266252390057362,0.04735050820167053,0.1070653240414612,0.06987213193116636,0.00208790379390158,0.0461000930864446,0.17733524991920716,-0.643828197945845,True
1562,18.0,BAUMER S.A.,outros,43.25567682228142,0.1713892971591389,68314610.0,31.96319170538392,11.73469387755102,43038204.3,20.13681077439187,6831460.999999998,20.153061224489797,36630863.092525594,17.13892971591389,-6407341.207474403,20.153061224489797,0.3196319170538392,86.73469387755102,0.9,90.0,0.006814162512281213,0.6814162512281212,1.0,0.7,0.8511243368145264,18444944.700000003,25276405.700000003,-6407341.207474403,213729000.0,41239000.0,52586000.0,54477000.0,78583000.0,,67723000.0,16140000.0,26854000.0,40212000.0,274810000.0,12371700.0,16827520.0,19066950.0,7858300.0,0.0,12190140.0,0.057884985191527585,0.07873297493554922,0.08921086983984391,0.03676758886253153,0.0,0.05703549822438695,0.05873148720934464,0.6678106037998608,True
26786,19.0,SENIOR SISTEMAS S.A.,outros,42.95917220166258,0.17025862703584202,334821570.0,28.610307934063812,37.244897959183675,234375099.0,20.02721555384467,0.0,59.43877551020408,199250776.82338637,17.025862703584206,-35124322.17661363,59.43877551020408,0.28610307934063806,79.59183673469387,1.0,100.0,0.0008259920134153873,0.08259920134153872,1.0,0.7,0.8501362886822135,100446471.00000001,100446471.0,-35124322.17661363,1170283000.0,135985000.0,188475000.0,559907000.0,376676000.0,,439000.0,403501000.0,-370724000.0,338094000.0,1002431000.0,40795500.0,60312000.0,195967450.0,37667600.0,0.0,79020.0,0.03485951688608653,0.05153625234238215,0.1674530434091583,0.0321867445737484,0.0,6.752212926275097e-05,0.4025224678805823,-1.0965116210284713,True
3298,20.0,CIA HABITASUL DE PARTICIPACOES,tecnologia,41.641928707385055,0.1652355421983164,61109772.0,90.98454849996278,9.438775510204081,12833052.120000001,19.106755184992185,42776840.4,8.16326530612245,11098045.191749921,16.52355421983164,-1735006.92825008,8.418367346938775,0.9098454849996278,99.74489795918367,0.30000000000000004,30.000000000000004,0.08970722653278564,8.970722653278564,1.2,0.7,0.8648016923779096,5499879.480000001,48276719.879999995,-1735006.92825008,67165000.0,94442000.0,2224000.0,26633000.0,41537000.0,,46696000.0,1432000.0,378404000.0,78748000.0,1643250000.0,33999120.0,854016.0,11185860.0,4984440.0,0.0,10086336.0,0.5062029330752624,0.012715193925407578,0.1665429911412194,0.0742118662994119,0.0,0.1501725005583265,0.0008714437851818043,4.805252196881191,True
