setor,n,potencial_medio_rs,score_medio,exposicao_media
financeiro,33,2968547431.1182165,22.459099337970475,0.18836111559642366
industria,62,1494872331.900461,29.83926789481891,0.21196835259038216
varejo,46,1450698353.0314453,31.799414206342313,0.2132040639516239
commodities,56,1418110230.3827777,15.264190122035117,0.12373686077469637
utilities,90,417300693.9225654,12.766899747013875,0.11085793759864458
saude_educacao,34,381194104.07426035,23.224026831138293,0.2145213988610816
outros,50,327827122.66307724,17.56043460061936,0.13762090281165804
tecnologia,15,222261779.49382457,48.8862281310136,0.31321077814967635
construcao,48,165861531.29860774,18.891579221749623,0.20553386515507635
