CD_CVM,receita,cpv,vendas,sga,ebit,pdd,caixa,estoques,ativo_total,intangivel,software,divida,pessoal,depreciacao,fco,template,pdd_fonte,alerta_receita,DENOM_CIA,setor_cvm,categoria_cvm,mercado_cvm,origem_dfp,setor,setor_fonte,ebitda,divida_liquida
3204,2065573000.0,934026000.0,10343000.0,146604000.0,993453000.0,10022000.0,182133000.0,74024000.0,7818832000.0,9311000.0,,3363968000.0,187651000.0,5138000.0,-268599000.0,padrao,dva,False,CPFL TRANSMISSÃO S.A.,Energia Elétrica,Categoria B,BOLSA,consolidado,utilities,cvm,998591000.0,3181835000.0
3271,1385805000.0,1134919000.0,0.0,100791000.0,139644000.0,5768000.0,24029000.0,3855000.0,2287348000.0,931569000.0,,1364473000.0,75466000.0,65938000.0,240488000.0,padrao,dva,False,ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S/A,Energia Elétrica,Categoria B,BOLSA,individual,utilities,cvm,205582000.0,1340444000.0
3298,52862000.0,20605000.0,2714000.0,88674000.0,6812000.0,573000.0,572000.0,101622000.0,1593259000.0,9417000.0,,271127000.0,27152000.0,1494000.0,-25926000.0,padrao,dva,False,CIA HABITASUL DE PARTICIPACOES,Emp. Adm. Part. - Crédito Imobiliário,Categoria A,BOLSA,consolidado,financeiro,cvm,8306000.0,270555000.0
3328,8043530000.0,3871033000.0,0.0,1292289000.0,5843566000.0,0.0,6348797000.0,134723000.0,71338795000.0,28231197000.0,,8542985000.0,955242000.0,633624000.0,3899390000.0,padrao,dva,False,AXIA ENERGIA NORDESTE S.A.,Energia Elétrica,Categoria A,BALCÃO ORGANIZADO,consolidado,utilities,cvm,6477190000.0,2194188000.0
3395,316150000.0,222824000.0,40793000.0,17797000.0,34231000.0,994000.0,80645000.0,94572000.0,418460000.0,1263000.0,,152534000.0,67200000.0,9101000.0,33178000.0,padrao,dva,False,COMPANHIA INDUSTRIAL CATAGUASES,Têxtil e Vestuário,Categoria A,,consolidado,industria,cvm,43332000.0,71889000.0
3450,1884000.0,703000.0,0.0,3692000.0,-2548000.0,0.0,33751000.0,2575000.0,42770000.0,0.0,,0.0,2217000.0,61000.0,555000.0,padrao,dva,False,COMPANHIA ITAUNENSE ENERGIA E PARTICIPAÇÕES,Emp. Adm. Part. - Energia Elétrica,Categoria A,,individual,utilities,cvm,-2487000.0,-33751000.0
3549,0.0,0.0,0.0,293000.0,-189000.0,0.0,6892000.0,545000.0,56862000.0,11000.0,11000.0,27156000.0,0.0,0.0,11848000.0,padrao,dre,False,CIA INDUSTRIAL SCHLOSSER S.A.,Têxtil e Vestuário,Categoria A,,consolidado,industria,cvm,-189000.0,20264000.0
3654,163122000.0,104709000.0,18406000.0,60298000.0,34630000.0,1006000.0,46686000.0,23947000.0,1423973000.0,0.0,,176757000.0,62224000.0,16020000.0,52823000.0,padrao,dva,False,CIA MELHORAMENTOS DE SAO PAULO,Papel e Celulose,Categoria A,BOLSA,consolidado,commodities,cvm,50650000.0,130071000.0
3824,15507463000.0,11537691000.0,429448000.0,514679000.0,2974471000.0,194828000.0,392633000.0,19090000.0,21128975000.0,1363396000.0,,9155160000.0,625763000.0,0.0,2019009000.0,padrao,dre,False,CIA PAULISTA DE FORCA E LUZ,Energia Elétrica,Categoria B,BALCÃO ORGANIZADO,individual,utilities,cvm,2974471000.0,8762527000.0
3980,67026656000.0,57823416000.0,762560000.0,1404059000.0,7487202000.0,30910000.0,7767813000.0,16504911000.0,86814493000.0,14253681000.0,,13636484000.0,7587166000.0,3126247000.0,11381243000.0,padrao,dva,False,GERDAU S.A.,Metalurgia e Siderurgia,Categoria A,BOLSA,consolidado,commodities,cvm,10613449000.0,5868671000.0
4030,43687460000.0,31990696000.0,5453297000.0,855999000.0,4270022000.0,13965000.0,23310197000.0,10439741000.0,103906654000.0,10438091000.0,,56914621000.0,4158901000.0,3786055000.0,8650505000.0,padrao,dva,False,CIA SIDERURGICA NACIONAL,Metalurgia e Siderurgia,Categoria A,BOLSA,consolidado,commodities,cvm,8056077000.0,33604424000.0
4081,35551000.0,86706000.0,6578000.0,17789000.0,-108131000.0,0.0,3363000.0,87077000.0,673131000.0,2000.0,,239204000.0,43326000.0,9887000.0,34694000.0,padrao,dva,False,CIA TECIDOS SANTANENSE EM RECUPERAÇÃO JUDICIAL,Têxtil e Vestuário,Categoria A,BOLSA,consolidado,industria,cvm,-98244000.0,235841000.0
4146,699084000.0,375484000.0,175466000.0,77500000.0,83925000.0,18000.0,10650000.0,177914000.0,706533000.0,11270000.0,,439009000.0,201755000.0,19253000.0,126124000.0,padrao,dva,False,KARSTEN S.A.,Têxtil e Vestuário,Categoria A,BOLSA,consolidado,industria,cvm,103178000.0,428359000.0
4170,206005000000.0,131318000000.0,0.0,3397000000.0,55459000000.0,0.0,30671000000.0,28513000000.0,496325000000.0,65105000000.0,,96012000000.0,15702000000.0,16525000000.0,50199000000.0,padrao,dva,False,VALE S.A.,Extração Mineral,Categoria A,BOLSA,consolidado,commodities,cvm,71984000000.0,65341000000.0
4448,398000.0,0.0,0.0,419000.0,-37812000.0,0.0,0.0,0.0,138473000.0,0.0,,23987442000.0,0.0,2827000.0,0.0,padrao,dva,False,COBRASMA S.A.,"Máquinas, Equipamentos, Veículos e Peças",Categoria A,,consolidado,industria,cvm,-34985000.0,23987442000.0
4537,728592000.0,343626000.0,222634000.0,69642000.0,81330000.0,17652000.0,207188000.0,141882000.0,1353420000.0,4165000.0,,0.0,135586000.0,28012000.0,155134000.0,padrao,dva,False,GRAZZIOTIN S.A.,Comércio (Atacado e Varejo),Categoria A,BOLSA,consolidado,varejo,cvm,109342000.0,-207188000.0
4669,9634207000.0,3952420000.0,3509676000.0,1379185000.0,761835000.0,787579000.0,1158206000.0,1461441000.0,13633267000.0,962978000.0,,1970996000.0,1764804000.0,690208000.0,1505901000.0,padrao,dva,False,GUARARAPES CONFECCOES S.A.,Têxtil e Vestuário,Categoria A,BOLSA,consolidado,industria,cvm,1452043000.0,812790000.0
4685,75097000.0,68773000.0,3075000.0,7601000.0,3975000.0,6271000.0,1291000.0,0.0,34313000.0,0.0,,6346000.0,11026000.0,1800000.0,-26430000.0,padrao,dva,False,CONPEL CIA NORDESTINA PAPEL - EM RECUPERAÇÃO JUDICIAL,Embalagens,Categoria A,,individual,industria,cvm,5775000.0,5055000.0
4693,733020000.0,522102000.0,101063000.0,44214000.0,51315000.0,4223000.0,101282000.0,395718000.0,1032741000.0,23815000.0,,325452000.0,109245000.0,16081000.0,-19938000.0,padrao,dva,False,CONSERVAS ODERICH S.A.,Alimentos,Categoria A,BOLSA,consolidado,industria,cvm,67396000.0,224170000.0
4723,75149000.0,55021000.0,0.0,30320000.0,18637000.0,0.0,6868000.0,18811000.0,243669000.0,474000.0,474000.0,70232000.0,28011000.0,2089000.0,-36980000.0,padrao,dva,False,CONSTRUTORA ADOLPHO LINDENBERG S.A.,"Construção Civil, Mat. Constr. e Decoração",Categoria A,BOLSA,consolidado,construcao,cvm,20726000.0,63364000.0
4782,1673000.0,408000.0,0.0,841773000.0,-843919000.0,0.0,7000.0,0.0,946883000.0,0.0,,13613990000.0,640000.0,408000.0,-21763000.0,padrao,dva,False,MENDES JUNIOR ENGENHARIA S.A.,"Construção Civil, Mat. Constr. e Decoração",Categoria A,,individual,construcao,cvm,-843511000.0,13613983000.0
4820,77411000000.0,71414000000.0,1991000000.0,3102000000.0,-1079000000.0,108000000.0,14986000000.0,13688000000.0,101575000000.0,3387000000.0,,53232000000.0,2400000000.0,4950000000.0,2435000000.0,padrao,dva,False,BRASKEM S.A.,Petroquímicos e Borracha,Categoria A,BOLSA,consolidado,commodities,cvm,3871000000.0,38246000000.0
5207,627567000.0,497593000.0,110459000.0,50267000.0,-17138000.0,3964000.0,84806000.0,301197000.0,998379000.0,13682000.0,13682000.0,166472000.0,205234000.0,20995000.0,24921000.0,padrao,dva,False,DOHLER S.A.,Têxtil e Vestuário,Categoria A,BOLSA,individual,industria,cvm,3857000.0,81666000.0
5258,38871522000.0,27314741000.0,7627819000.0,1570628000.0,2352106000.0,32575000.0,528002000.0,8407430000.0,22163756000.0,2025604000.0,,3293930000.0,3828600000.0,1801431000.0,2771263000.0,padrao,dva,False,RAIA DROGASIL S.A.,Comércio (Atacado e Varejo),Categoria A,BOLSA,consolidado,varejo,cvm,4153537000.0,2765928000.0
5312,969980000.0,595926000.0,208606000.0,53373000.0,133467000.0,4141000.0,1728000.0,223100000.0,1448472000.0,26605000.0,1337000.0,500483000.0,185067000.0,15542000.0,-46162000.0,padrao,dva,False,MUNDIAL S.A. - PRODUTOS DE CONSUMO,Têxtil e Vestuário,Categoria A,BOLSA,consolidado,industria,cvm,149009000.0,498755000.0
5380,564238000.0,396879000.0,23403000.0,51168000.0,101077000.0,0.0,12904000.0,102041000.0,618724000.0,2785000.0,,120942000.0,156377000.0,23961000.0,78162000.0,padrao,dva,False,ELECTRO ACO ALTONA S.A.,Metalurgia e Siderurgia,Categoria A,BOLSA,consolidado,commodities,cvm,125038000.0,108038000.0
5410,37986941000.0,25173096000.0,2987307000.0,1299421000.0,7690528000.0,22896000.0,7347599000.0,9903951000.0,41489701000.0,2820655000.0,,3595237000.0,7355546000.0,812485000.0,7252269000.0,padrao,dva,False,WEG S.A.,"Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças",Categoria A,BOLSA,consolidado,industria,cvm,8503013000.0,-3752362000.0
5576,4522099000.0,3135948000.0,0.0,245504000.0,1109958000.0,58081000.0,50611000.0,17494000.0,7189556000.0,956041000.0,,4538492000.0,141814000.0,193340000.0,1117573000.0,padrao,dva,False,ENERGISA MATO GROSSO DO SUL - DIST DE ENERGIA S.A.,Energia Elétrica,Categoria B,BOLSA,individual,utilities,cvm,1303298000.0,4487881000.0
5762,1161752000.0,913939000.0,115765000.0,96759000.0,36806000.0,1785000.0,16132000.0,196527000.0,1306516000.0,74424000.0,2940000.0,126257000.0,204130000.0,51213000.0,134667000.0,padrao,dva,False,ETERNIT S.A.,"Construção Civil, Mat. Constr. e Decoração",Categoria A,BOLSA,consolidado,construcao,cvm,88019000.0,110125000.0
5770,2857809000.0,1915521000.0,435271000.0,116375000.0,373326000.0,4516000.0,246225000.0,627979000.0,4569192000.0,21021000.0,,805708000.0,393439000.0,205011000.0,444228000.0,padrao,dva,False,EUCATEX S.A. INDUSTRIA E COMERCIO,"Construção Civil, Mat. Constr. e Decoração",Categoria A,BOLSA,consolidado,construcao,cvm,578337000.0,559483000.0
5983,1344000.0,123000.0,0.0,1769000.0,-548000.0,0.0,33000.0,0.0,3075000.0,32000.0,,24894000.0,0.0,0.0,-9872000.0,padrao,dva,False,FIACAO E TECELAGEM SAO JOSE SA EM RECUPERACAO JUDICIAL,Têxtil e Vestuário,Categoria A,,consolidado,industria,cvm,-548000.0,24861000.0
6173,1672674000.0,1090267000.0,199514000.0,221305000.0,208955000.0,4218000.0,112614000.0,779281000.0,2628647000.0,186268000.0,,747538000.0,208996000.0,43615000.0,224157000.0,padrao,dva,False,TAURUS ARMAS S.A.,"Máquinas, Equipamentos, Veículos e Peças",Categoria A,BOLSA,consolidado,industria,cvm,252570000.0,634924000.0
6211,3965776000.0,2635267000.0,404731000.0,317435000.0,519171000.0,2022000.0,844881000.0,1054752000.0,4869614000.0,586859000.0,,1111178000.0,642622000.0,158712000.0,113984000.0,padrao,dva,False,FRASLE MOBILITY S.A.,"Máquinas, Equipamentos, Veículos e Peças",Categoria A,BOLSA,consolidado,industria,cvm,677883000.0,266297000.0
6343,10665110000.0,8738519000.0,561747000.0,449573000.0,559667000.0,8105000.0,2376203000.0,2197704000.0,11510863000.0,137476000.0,,4770312000.0,2184094000.0,387098000.0,1353491000.0,padrao,dva,False,TUPY S.A.,Metalurgia e Siderurgia,Categoria A,BOLSA,consolidado,commodities,cvm,946765000.0,2394109000.0
6505,27206000000.0,18829000000.0,5486000000.0,1195000000.0,510000000.0,1037000000.0,2131000000.0,4695000000.0,33889000000.0,2674000000.0,,9446000000.0,3470000000.0,1072000000.0,10643000000.0,padrao,dva,False,GRUPO CASAS BAHIA S.A.,Comércio (Atacado e Varejo),Categoria A,BOLSA,consolidado,varejo,cvm,1582000000.0,7315000000.0
6629,4118000.0,0.0,0.0,365000.0,3489000.0,0.0,14000.0,0.0,11783000.0,142000.0,,324582000.0,0.0,0.0,13000.0,padrao,dva,False,HERCULES S.A. FABRICA DE TALHERES,Metalurgia e Siderurgia,Categoria A,BOLSA,individual,commodities,cvm,3489000.0,324568000.0
6700,162733000.0,51880000.0,9193000.0,48197000.0,132461000.0,328000.0,14453000.0,4714000.0,498883000.0,0.0,,1022000.0,24796000.0,9541000.0,55940000.0,padrao,dva,False,HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL,Hospedagem e Turismo,Categoria A,BOLSA,consolidado,outros,padrao,142002000.0,-13431000.0
7510,1220011000.0,864795000.0,118493000.0,152274000.0,112620000.0,6719000.0,262220000.0,715544000.0,2546623000.0,49086000.0,,855484000.0,376036000.0,60613000.0,203988000.0,padrao,dva,False,ROMI S.A.,"Máquinas, Equipamentos, Veículos e Peças",Categoria A,BOLSA,consolidado,industria,cvm,173233000.0,593264000.0
7544,117684000.0,95462000.0,13141000.0,13777000.0,6105000.0,1089000.0,298000.0,37122000.0,175170000.0,1305000.0,,317562000.0,32181000.0,4627000.0,14124000.0,padrao,dva,False,TEXTIL RENAUXVIEW S.A.,Têxtil e Vestuário,Categoria A,BOLSA,consolidado,industria,cvm,10732000.0,317264000.0
7595,4402000.0,6515000.0,4341000.0,66048000.0,-88454000.0,3147000.0,126000.0,9365000.0,932845000.0,391516000.0,,927512000.0,10463000.0,6584000.0,-235000.0,padrao,dre,False,INEPAR S.A. INDUSTRIA E CONSTRUCOES EM RECUPERACAO JUDICIAL,"Máquinas, Equipamentos, Veículos e Peças",Categoria A,BOLSA,consolidado,industria,cvm,-81870000.0,927386000.0
7617,8235000000.0,5783000000.0,1225000000.0,542000000.0,16388000000.0,8000000.0,4852000000.0,1642000000.0,114625000000.0,835000000.0,,11112000000.0,1337000000.0,1231000000.0,613000000.0,padrao,dva,False,ITAÚSA S.A.,Emp. Adm. Part. - Intermediação Financeira,Categoria A,BOLSA,consolidado,financeiro,cvm,17619000000.0,6260000000.0
7811,166984000.0,207568000.0,26153000.0,34572000.0,-169930000.0,0.0,8363000.0,575921000.0,857867000.0,3107000.0,446000.0,264888000.0,15930000.0,17265000.0,-461068000.0,padrao,dva,False,JOAO FORTES ENGENHARIA S.A. - EM RECUPERAÇÃO JUDICIAL,"Construção Civil, Mat. Constr. e Decoração",Categoria A,BOLSA,consolidado,construcao,cvm,-152665000.0,256525000.0
7870,1607297000.0,1126092000.0,101137000.0,100807000.0,289184000.0,290000.0,389817000.0,296377000.0,1594030000.0,121433000.0,,329222000.0,211911000.0,39479000.0,193900000.0,padrao,dva,False,KEPLER WEBER S.A.,Emp. Adm. Part. - Metalurgia e Siderurgia,Categoria A,BOLSA,consolidado,commodities,cvm,328663000.0,-60595000.0
8036,13527958000.0,11771012000.0,0.0,877603000.0,717516000.0,117052000.0,104601000.0,71104000.0,20624060000.0,1270984000.0,,5619532000.0,572065000.0,767192000.0,1997718000.0,padrao,dva,False,LIGHT SERVICOS DE ELETRICIDADE S.A.,Energia Elétrica,Categoria B,BOLSA,individual,utilities,cvm,1484708000.0,5514931000.0
8133,14436366000.0,5694417000.0,3881212000.0,1847770000.0,1259343000.0,957280000.0,1926110000.0,1929908000.0,20364590000.0,1613427000.0,,945500000.0,2041648000.0,1244254000.0,2487007000.0,padrao,dva,False,LOJAS RENNER S.A.,Comércio (Atacado e Varejo),Categoria A,BOLSA,consolidado,varejo,cvm,2503597000.0,-980610000.0
8192,136466000.0,95387000.0,0.0,20580000.0,21567000.0,1905000.0,10877000.0,408000.0,208312000.0,123000.0,,5289000.0,42222000.0,16209000.0,24716000.0,padrao,dva,False,TREVISA INVESTIMENTOS S.A.,Emp. Adm. Part. - Sem Setor Principal,Categoria A,BOLSA,consolidado,outros,padrao,37776000.0,-5588000.0
8397,948038000.0,834552000.0,10525000.0,37745000.0,63267000.0,5426000.0,12596000.0,125615000.0,739532000.0,1157000.0,,633066000.0,158403000.0,21411000.0,148169000.0,padrao,dva,False,MANGELS INDUSTRIAL S.A.,Emp. Adm. Part. - Metalurgia e Siderurgia,Categoria A,BOLSA,consolidado,commodities,cvm,84678000.0,620470000.0
8427,154454000.0,86828000.0,21180000.0,48407000.0,572000.0,6388000.0,339000.0,29088000.0,328256000.0,1754000.0,,101031000.0,10299000.0,1879000.0,-18469000.0,padrao,dva,False,MANUFATURA DE BRINQUEDOS ESTRELA S.A.,Brinquedos e Lazer,Categoria A,BOLSA,consolidado,industria,cvm,2451000.0,100692000.0
8451,8593837000.0,6462477000.0,352368000.0,380061000.0,1457572000.0,11172000.0,2093398000.0,1828739000.0,9441753000.0,312357000.0,,3255986000.0,1593434000.0,167592000.0,1244148000.0,padrao,dva,False,MARCOPOLO S.A.,"Máquinas, Equipamentos, Veículos e Peças",Categoria A,BOLSA,consolidado,industria,cvm,1625164000.0,1162588000.0
8575,4557980000.0,3258867000.0,343228000.0,140635000.0,870250000.0,6711000.0,291793000.0,815753000.0,3593297000.0,389833000.0,,1068530000.0,824323000.0,104725000.0,568018000.0,padrao,dva,False,MAHLE METAL LEVE S.A.,"Máquinas, Equipamentos, Veículos e Peças",Categoria A,BOLSA,consolidado,industria,cvm,974975000.0,776737000.0
8656,67026656000.0,57823416000.0,762560000.0,1417394000.0,7474322000.0,30910000.0,7861818000.0,16504911000.0,86948529000.0,14253681000.0,,13636484000.0,7590376000.0,3126247000.0,11688689000.0,padrao,dva,False,METALURGICA GERDAU S.A.,Emp. Adm. Part. - Metalurgia e Siderurgia,Categoria A,BOLSA,consolidado,commodities,cvm,10600569000.0,5774666000.0
