CD_CVM,rank,DENOM_CIA,setor,setor_fonte,setor_cvm,categoria_cvm,mercado_cvm,origem_dfp,template,pdd_fonte,score_0_100,score_bruto,obj1_teto_rs,obj1_teto_pct_receita,obj1_0_100,obj2_potencial_viavel_rs,obj2_viavel_pct_receita,obj2_desconto_financeiro_rs,obj2_0_100,obj3_potencial_final_rs,obj3_viavel_pct_receita,obj3_boost_readiness_rs,obj3_0_100,exposicao,exposicao_score,exposicao_0_100,f_fin,f_fin_0_100,f_caixa,g_alavancagem,h_fco,readiness,readiness_bruto,readiness_efetiva,readiness_0_100,mult_setor,rho_captura,fator_execucao,obj2_desconto_captura_rs,obj2_desconto_total_rs,obj3_ajuste_execucao_rs,pessoal_modo,fator_pessoal_liquido,receita,sga,vendas,pessoal,cpv,pdd,estoques,sga_afetavel,vendas_afetavel,cpv_afetavel,pessoal_afetavel,caixa,divida_liquida,ebitda,ativo_total,fco,fco_sobre_receita,valor_sga_rs,valor_vendas_rs,valor_pessoal_rs,valor_cpv_rs,valor_pdd_rs,valor_estoques_rs,contrib_sga,contrib_vendas,contrib_pessoal,contrib_cpv,contrib_pdd,contrib_estoques,caixa_sobre_ativo,dl_sobre_ebitda,alerta_receita,valido,obj2_viavel_rs_rho_conservador,obj3_final_rs_rho_conservador,obj2_viavel_rs_rho_base,obj3_final_rs_rho_base,obj2_viavel_rs_rho_otimista,obj3_final_rs_rho_otimista
23302,1.0,QUALITY SOFTWARE S.A.,tecnologia,cvm,Emp. Adm. Part. - Comunicação e Informática,Categoria A,BOLSA,consolidado,padrao,dva,100.0,0.375101448869588,69429117.36,102.4461605751176,16.017316017316016,48600382.151999995,71.71231240258231,0.0,24.675324675324674,48096533.58993239,70.96885846484209,-503848.56206760556,25.324675324675322,1.0244616057511757,0.5414727543051877,99.78354978354979,1.0,100.0,1.0,1.0,1.0,0.9242424242424242,0.10302031893099245,0.9308855143714991,92.42424242424242,1.2,0.7,0.9896328271557249,20828735.208000004,20828735.208000004,-503848.56206760556,liquido,0.0,67771322.0,31574337.0,0.0,165267560.0,0.0,93012.0,0.0,0.0,0.0,0.0,165267560.0,37601374.0,44204271.0,39725077.0,279567562.0,37811058.0,0.5579212103904362,0.0,0.0,69412375.2,0.0,16742.16,0.0,0.0,0.0,1.0242145667455032,0.0,0.0002470390056726354,0.0,0.1344983435524612,1.1127548223506276,True,True,34714558.68,34354666.84995171,48600382.151999995,48096533.58993239,62486205.624,61838400.32991307
6076,2.0,"DM FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",financeiro,cvm,Bancos,Categoria A,BOLSA,individual,financeiro,dre,86.90075011310958,0.3261869748411801,399383000.0,55.583266414392696,52.16450216450217,279568100.0,38.908286490074886,0.0,62.77056277056276,240591112.91788024,33.48374849768211,-38976987.08211976,60.82251082251082,0.5558326641439271,0.5414727543051877,99.35064935064936,1.0,100.0,1.0,1.0,1.0,0.05411255411255411,2.700194076449245e-06,0.07054281032970089,5.411255411255411,1.25,0.7,0.8605814215494552,119814900.00000001,119814900.0,-38976987.08211976,liquido,1.0,718531000.0,177535000.0,,1594000.0,,664220000.0,,177535000.0,0.0,0.0,1594000.0,2348576000.0,-2348576000.0,-397968000.0,2962750000.0,-532681000.0,-0.7413472765962776,66575625.0,0.0,697375.0,0.0,332110000.0,0.0,0.09265518815472124,0.0,0.0009705565939395794,0.0,0.4622069193952662,0.0,0.7927013754113577,,False,True,199691500.0,171850794.94134304,279568100.0,240591112.91788024,359444700.0,309331430.89441746
25399,3.0,NEOGRID PARTICIPAÇÕES S.A.,tecnologia,cvm,Comunicação e Informática,Categoria A,,consolidado,padrao,dva,73.44647520942179,0.2759467865838261,108695019.04007831,39.655531612809405,22.51082251082251,76086513.32805482,27.758872128966576,0.0,31.16883116883117,75636462.30905357,27.59467865838261,-450051.0190012455,32.900432900432904,0.396555316128094,0.396555316128094,97.61904761904762,1.0,100.0,1.0,1.0,1.0,0.9567099567099567,0.11602233068260837,0.9605667286429765,95.67099567099568,1.2,0.7,0.9940850092964465,32608505.712023497,32608505.712023497,-450051.0190012455,liquido,0.3944369759731269,274098000.0,135903000.0,50598000.0,180634000.0,111790000.0,3199000.0,0.0,53605168.34567586,19957722.110288274,44094109.54403585,180634000.0,91238000.0,-73229000.0,15646000.0,606878000.0,1865000.0,0.006804135747068567,19297860.60444331,7663765.290350697,75866280.0,5291293.145284302,575820.0,0.0,0.07040496685288952,0.027959946042476407,0.27678523739684346,0.0193043843635645,0.002100781472320119,0.0,0.15033993652760522,-4.680365588648856,False,True,54347509.520039156,54026044.506466836,76086513.32805482,75636462.30905357,97825517.13607049,97246880.11164032
25925,4.0,BIONEXO S.A.,tecnologia,cvm,Comunicação e Informática,Categoria A,,consolidado,padrao,dva,60.93513631610593,0.22922765635560008,58035340.55060427,32.81465387520173,12.987012987012985,40624738.38542298,22.970257712641203,0.0,22.51082251082251,40540744.84773871,22.922765635560005,-83993.53768426925,23.376623376623375,0.32814653875201727,0.32814653875201727,94.58874458874459,1.0,100.0,1.0,1.0,1.0,0.9848484848484849,0.14481982893005052,0.9862163563348375,98.48484848484848,1.2,0.7,0.9979324534502256,17410602.165181283,17410602.165181287,-83993.53768426925,liquido,0.2819347140657392,176858000.0,59424000.0,39166000.0,107722000.0,51427000.0,4337000.0,0.0,16753688.448642487,11042255.011098742,14499056.54025877,107722000.0,143893000.0,-137579000.0,9828000.0,321389000.0,29852000.0,0.1687907813047756,6031327.841511295,4240225.924261917,45243240.0,1739886.7848310524,780660.0,0.0,0.03410265773395207,0.023975313100125056,0.25581675694625067,0.009837761282107976,0.0044140496895814715,0.0,0.4477222306924008,-13.998677248677248,False,True,29017670.275302134,28957674.89124194,40624738.38542298,40540744.84773871,52231806.495543845,52123814.8042355
25259,5.0,ENJOEI S.A.,varejo,cvm,Comércio (Atacado e Varejo),Categoria A,BOLSA,consolidado,padrao,dva,56.64367281823103,0.21320271739930588,83341508.04552615,31.423419731290565,18.398268398268396,58339055.6318683,21.996393811903395,0.0,27.27272727272727,56545837.9113613,21.320271739930586,-1793217.7205070034,28.57142857142857,0.3142341973129057,0.3142341973129057,93.72294372294373,1.0,100.0,1.0,1.0,1.0,0.7770562770562771,0.05470635330456163,0.7950809337947247,77.7056277056277,1.1,0.7,0.9692621400692087,25002452.413657848,25002452.413657844,-1793217.7205070034,liquido,0.8141311728293329,265221000.0,129828000.0,56890000.0,56390000.0,116668000.0,0.0,0.0,105697021.90608662,46315922.42226075,94983055.67165262,56390000.0,198800000.0,-198800000.0,1531000.0,422174000.0,4924000.0,0.018565649024775564,34880017.229008585,16303204.692635784,21710150.0,10448136.123881789,0.0,0.0,0.13151302962061295,0.061470263262093816,0.08185682883331259,0.039394075596886326,0.0,0.0,0.4708958865301984,-129.84977139124754,False,True,41670754.02276307,40389884.222400926,58339055.6318683,56545837.9113613,75007357.24097353,72701791.60032167
26034,6.0,GRUPO MULTILASER S.A.,tecnologia,cvm,Comunicação e Informática,Categoria A,,consolidado,padrao,dva,54.49087848125662,0.20516387520653082,1102672167.1586485,32.541620716867726,74.89177489177489,771870517.0110539,22.779134501807405,0.0,81.81818181818183,695197380.8095794,20.516387520653083,-76673136.20147455,81.81818181818183,0.32541620716867725,0.32541620716867725,94.37229437229438,1.0,100.0,1.0,1.0,1.0,0.30303030303030304,0.001971028688756193,0.3377720354930417,30.303030303030305,1.2,0.7,0.9006658053239562,330801650.1475946,330801650.1475946,-76673136.20147455,liquido,0.879425520977057,3388498000.0,131311000.0,835966000.0,430390000.0,2602218000.0,0.0,1497297000.0,115478244.58501832,735169835.0691063,2288456920.3458753,430390000.0,744553000.0,-96750000.0,41374000.0,5308700000.0,65845000.0,0.019431913490874128,41572168.05060659,282305216.66653687,180763800.0,274614830.441505,0.0,323416152.0,0.012268612243715827,0.08331278834059717,0.05334629089348732,0.0810432322644148,0.0,0.09544528342646211,0.1402514739955168,-2.338425097887562,False,True,551336083.5793242,496569557.7211281,771870517.0110539,695197380.8095794,992404950.4427837,893825203.8980306
23817,7.0,BRQ SOLUCOES EM INFORMATICA S.A.,tecnologia,cvm,Comunicação e Informática,Categoria A,BOLSA,consolidado,padrao,dva,53.84276368910744,0.2027437218052483,194345120.971271,33.40032257792533,32.03463203463203,122437426.21190073,21.042203224092955,19434512.097127095,43.722943722943725,117969678.43193263,20.274372180524832,-4467747.779968098,44.15584415584416,0.33400322577925323,0.33400322577925323,94.8051948051948,0.9,90.0,0.9,1.0,1.0,0.7359307359307359,0.041670280556930256,0.7567330013272344,73.59307359307358,1.2,0.7,0.9635099501990851,52473182.66224318,71907694.75937028,-4467747.779968098,liquido,0.12169248314938963,581866000.0,126239000.0,0.0,436662000.0,370924000.0,0.0,0.0,15362337.380295798,0.0,45138662.6197042,436662000.0,26052000.0,-17591000.0,101893000.0,392006000.0,87711000.0,0.15074089223291962,5530441.456906487,0.0,183398040.0,5416639.514364504,0.0,0.0,0.00950466508939599,0.0,0.31518947661489066,0.00930908407496658,0.0,0.0,0.06645816645663587,-0.172641889040464,False,True,87455304.43707195,84264056.02280903,122437426.21190073,117969678.43193263,157419547.9867295,151675300.84105623
22519,8.0,TECHNOS S.A.,varejo,cvm,Comércio (Atacado e Varejo),Categoria A,BOLSA,consolidado,padrao,dva,51.82420537003165,0.1952061361170728,115308137.1146638,28.806869470036922,23.376623376623375,80715695.98026465,20.164808629025842,0.0,32.900432900432904,78137112.16494188,19.520613611707276,-2578583.8153227717,33.76623376623377,0.2880686947003693,0.2880686947003693,92.64069264069265,1.0,100.0,1.0,1.0,1.0,0.7683982683982684,0.05296630581363089,0.7870233470696754,76.83982683982684,1.1,0.7,0.9680535020604513,34592441.134399146,34592441.134399146,-2578583.8153227717,liquido,0.7085956630861581,400280000.0,39405000.0,106680000.0,95439000.0,181429000.0,1807000.0,142936000.0,27922212.10391006,75592985.33803134,128559802.55805857,95439000.0,119913000.0,-12150000.0,77340000.0,724487000.0,48231000.0,0.12049315479164585,9214329.99429032,26608730.838987034,36744015.0,14141578.281386444,298155.0,28301328.0,0.02301971118789427,0.06647529439139362,0.09179578045368242,0.03532921525278916,0.000744866093734386,0.07070382732087539,0.1655143570554061,-0.15709852598913887,False,True,57654068.5573319,55812222.974958494,80715695.98026465,78137112.16494188,103777323.40319742,100462001.35492529
23310,9.0,CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.,outros,padrao,Hospedagem e Turismo,Categoria A,BOLSA,consolidado,padrao,dva,51.7362848386473,0.194877828268448,410128339.1529682,28.866766600268186,52.81385281385281,287089837.4070777,20.206736620187726,0.0,63.20346320346321,276875207.924165,19.4877828268448,-10214629.48291272,64.06926406926407,0.2886676660026818,0.2886676660026818,92.85714285714286,1.0,100.0,1.0,1.0,1.0,0.7424242424242424,0.043212135035546086,0.7628006254030987,74.24242424242425,1.0,0.7,0.9644200938104648,123038501.74589048,123038501.7458905,-10214629.48291272,liquido,0.6680018796736862,1420763000.0,963863000.0,253824000.0,439444000.0,105947000.0,12196000.0,0.0,643862295.7479181,169554909.1062937,70772795.14578803,439444000.0,400233000.0,142088000.0,313318000.0,3840648000.0,382454000.0,0.2691891610353029,193158688.72437543,54257570.91401399,153805400.0,7077279.514578803,1829400.0,0.0,0.1359541941367951,0.03818903709768201,0.10825549370303139,0.004981323073995313,0.0012876179911779796,0.0,0.10420975835327788,0.45349453271117524,False,True,205064169.5764841,197768005.66011786,287089837.4070777,276875207.924165,369115505.23767143,355982410.1882122
24910,10.0,LWSA S/A,tecnologia,cvm,Comunicação e Informática,Categoria A,BOLSA,consolidado,padrao,dva,50.98839688228661,0.1920851075910468,378635420.8570583,27.63697642515345,50.21645021645021,265044794.59994078,19.34588349760741,0.0,61.038961038961034,263162744.12317708,19.208510759104684,-1882050.4767636955,62.33766233766234,0.2763697642515344,0.2763697642515344,91.34199134199135,1.0,100.0,1.0,1.0,1.0,0.948051948051948,0.11434226411763562,0.9526608202309232,94.8051948051948,1.2,0.7,0.9928991230346385,113590626.25711751,113590626.25711751,-1882050.4767636955,liquido,0.6204625269438581,1370032000.0,257444000.0,283852000.0,476819000.0,715020000.0,0.0,0.0,159734354.7865346,176119529.198068,443643116.01539737,476819000.0,447378000.0,-372951000.0,244220000.0,4010622000.0,146002000.0,0.10656831373281792,57504367.72315246,67629899.21205811,200263980.0,53237173.92184768,0.0,0.0,0.041973010647307844,0.04936373691421668,0.14617467329230266,0.038858343397707266,0.0,0.0,0.11154828353307791,-1.5271108017361394,False,True,189317710.42852914,187973388.6594122,265044794.59994078,263162744.12317708,340771878.77135247,338352099.586942
