CD_CVM,receita,cpv,vendas,sga,ebit,pdd,caixa,estoques,ativo_total,intangivel,software,divida,pessoal,depreciacao,fco,template,pdd_fonte,alerta_receita,DENOM_CIA,setor_cvm,categoria_cvm,mercado_cvm,origem_dfp,setor,setor_fonte,ebitda,divida_liquida
94,1928530000.0,1717282000.0,71822000.0,63324000.0,85087000.0,3066000.0,21699000.0,284783000.0,1416094000.0,4724000.0,,318505000.0,79698000.0,17419000.0,218404000.0,padrao,dva,False,PANATLANTICA S.A.,Metalurgia e Siderurgia,Categoria A,BOLSA,consolidado,commodities,cvm,102506000.0,296806000.0
701,332743000.0,171123000.0,0.0,153089000.0,-24845000.0,0.0,12088000.0,0.0,390008000.0,180824000.0,,45822000.0,176311000.0,12243000.0,57270000.0,padrao,dva,False,BIOMA EDUCAÇÃO S.A.,Emp. Adm. Part. - Educação,Categoria A,BOLSA,consolidado,saude_educacao,cvm,-12602000.0,33734000.0
1520,48072000.0,42983000.0,1890000.0,18060000.0,-28163000.0,18675000.0,7809000.0,17503000.0,393588000.0,24917000.0,,180611000.0,25718000.0,1894000.0,913000.0,padrao,dva,False,BARDELLA S.A. INDUSTRIAS MECANICAS EM RECUPERAÇÃO JUDICIAL,"Máquinas, Equipamentos, Veículos e Peças",Categoria A,BOLSA,consolidado,industria,cvm,-26269000.0,172802000.0
1562,213729000.0,78583000.0,52586000.0,41239000.0,34676000.0,827000.0,16140000.0,67723000.0,274810000.0,1178000.0,,21497000.0,54477000.0,5536000.0,54887000.0,padrao,dva,False,BAUMER S.A.,Metalurgia e Siderurgia,Categoria A,BOLSA,consolidado,commodities,cvm,40212000.0,5357000.0
1570,283518000.0,212855000.0,41350000.0,5405000.0,23892000.0,383000.0,70925000.0,13166000.0,212458000.0,29000.0,29000.0,0.0,46578000.0,5410000.0,48309000.0,padrao,dva,False,EXCELSIOR ALIMENTOS S.A.,Alimentos,Categoria A,BOLSA,individual,industria,cvm,29302000.0,-70925000.0
1694,14494000.0,10309000.0,2181000.0,22724000.0,-24493000.0,0.0,161881000.0,8367000.0,230132000.0,0.0,,2705000.0,5916000.0,129000.0,59374000.0,padrao,dva,False,BICICLETAS MONARK S.A.,Brinquedos e Lazer,Categoria A,BOLSA,individual,industria,cvm,-24364000.0,-159176000.0
2100,383122000.0,195806000.0,78659000.0,45424000.0,68425000.0,825000.0,813000.0,28137000.0,372970000.0,1706000.0,,1972000.0,84483000.0,13659000.0,80866000.0,padrao,dva,False,CAMBUCI S.A.,Têxtil e Vestuário,Categoria A,BOLSA,consolidado,industria,cvm,82084000.0,1159000.0
2429,1686311000.0,986069000.0,127554000.0,117545000.0,447806000.0,406000.0,839834000.0,137325000.0,3949686000.0,135903000.0,,1909711000.0,280993000.0,204753000.0,504071000.0,padrao,dva,False,IRANI PAPEL E EMBALAGEM S.A.,Embalagens,Categoria A,BALCÃO ORGANIZADO,consolidado,industria,cvm,652559000.0,1069877000.0
2437,41281596000.0,23564406000.0,0.0,12001962000.0,3946582000.0,0.0,16417860000.0,422546000.0,279685593000.0,76625705000.0,,74295765000.0,3690540000.0,4575050000.0,14509829000.0,padrao,dva,False,AXIA ENERGIA S.A.,Emp. Adm. Part. - Energia Elétrica,Categoria A,BOLSA,consolidado,utilities,cvm,8521632000.0,57877905000.0
2453,42751283000.0,35513967000.0,161421000.0,826866000.0,6750308000.0,161421000.0,1901636000.0,0.0,67028076000.0,18547016000.0,,19465331000.0,883645000.0,1533416000.0,4076534000.0,padrao,dre,False,CIA ENERGETICA DE MINAS GERAIS - CEMIG,Energia Elétrica,Categoria A,BOLSA,consolidado,utilities,cvm,8283724000.0,17563695000.0
2461,11900276000.0,9908292000.0,123555000.0,719526000.0,1413978000.0,74693000.0,418813000.0,21568000.0,13831031000.0,5043329000.0,,5005746000.0,980899000.0,383350000.0,176819000.0,padrao,dva,False,CENTRAIS ELET DE SANTA CATARINA S.A.,Energia Elétrica,Categoria A,BOLSA,consolidado,utilities,cvm,1797328000.0,4586933000.0
2577,1710155000.0,1159173000.0,0.0,406016000.0,956998000.0,0.0,807182000.0,0.0,13477622000.0,1954063000.0,,6384689000.0,101499000.0,514445000.0,-165615000.0,padrao,dva,False,CESP - CIA ENERGETICA DE SAO PAULO,Energia Elétrica,Categoria B,BOLSA,consolidado,utilities,cvm,1471443000.0,5577507000.0
3050,9762207000.0,8041243000.0,0.0,328960000.0,854036000.0,189839000.0,316498000.0,0.0,21448777000.0,1782041000.0,340367000.0,4368865000.0,326633000.0,701530000.0,572615000.0,padrao,dva,False,AMPLA ENERGIA E SERVICOS S.A.,Energia Elétrica,Categoria A,BOLSA,individual,utilities,cvm,1555566000.0,4052367000.0
3069,2334454000.0,1923308000.0,26796000.0,219106000.0,47089000.0,0.0,372724000.0,486996000.0,4459480000.0,13355000.0,,364253000.0,483768000.0,277900000.0,403186000.0,padrao,dva,False,CIA FERRO LIGAS DA BAHIA - FERBASA,Metalurgia e Siderurgia,Categoria A,BOLSA,consolidado,commodities,cvm,324989000.0,-8471000.0
3077,828834000.0,634995000.0,47463000.0,48197000.0,39275000.0,5140000.0,3050000.0,177207000.0,922336000.0,845000.0,845000.0,406362000.0,126766000.0,21341000.0,18395000.0,padrao,dva,False,CIA FIACAO TECIDOS CEDRO CACHOEIRA,Têxtil e Vestuário,Categoria A,BOLSA,individual,industria,cvm,60616000.0,403312000.0
3190,19392049000.0,14358368000.0,0.0,1006560000.0,3729186000.0,258269000.0,352971000.0,72112000.0,32899734000.0,8108458000.0,,19049643000.0,695430000.0,997541000.0,3591520000.0,padrao,dva,False,REDE ENERGIA PARTICIPAÇÕES S.A.,Energia Elétrica,Categoria A,BOLSA,consolidado,utilities,cvm,4726727000.0,18696672000.0
3204,2106957000.0,999832000.0,15484000.0,230665000.0,873799000.0,14944000.0,92641000.0,92128000.0,8625223000.0,14542000.0,,3416875000.0,150326000.0,8128000.0,-358624000.0,padrao,dva,False,CPFL TRANSMISSÃO S.A.,Energia Elétrica,Categoria B,BOLSA,consolidado,utilities,cvm,881927000.0,3324234000.0
3271,1492595000.0,1167364000.0,0.0,101165000.0,212265000.0,4511000.0,31278000.0,4229000.0,2350079000.0,1088261000.0,,1419624000.0,75087000.0,76269000.0,205934000.0,padrao,dva,False,ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S/A,Energia Elétrica,Categoria B,BOLSA,individual,utilities,cvm,288534000.0,1388346000.0
3298,67165000.0,41537000.0,2224000.0,94442000.0,76290000.0,635000.0,1432000.0,46696000.0,1643250000.0,8721000.0,,189918000.0,26633000.0,2458000.0,-48531000.0,padrao,dva,True,CIA HABITASUL DE PARTICIPACOES,Emp. Adm. Part. - Crédito Imobiliário,Categoria A,BOLSA,consolidado,financeiro,cvm,78748000.0,188486000.0
3328,8839001000.0,4224216000.0,0.0,823173000.0,2005713000.0,0.0,3512992000.0,141844000.0,69735209000.0,27601119000.0,,8745795000.0,834577000.0,869622000.0,4504296000.0,padrao,dva,False,AXIA ENERGIA NORDESTE S.A.,Energia Elétrica,Categoria A,BALCÃO ORGANIZADO,consolidado,utilities,cvm,2875335000.0,5232803000.0
3395,298894000.0,222465000.0,40219000.0,18495000.0,18466000.0,1920000.0,75761000.0,103729000.0,429620000.0,1522000.0,,163568000.0,73131000.0,11571000.0,9383000.0,padrao,dva,False,COMPANHIA INDUSTRIAL CATAGUASES,Têxtil e Vestuário,Categoria A,,consolidado,industria,cvm,30037000.0,87807000.0
3450,27215000.0,3148000.0,0.0,3659000.0,22068000.0,0.0,12496000.0,1778000.0,46081000.0,0.0,,0.0,2591000.0,90000.0,7966000.0,padrao,dva,False,COMPANHIA ITAUNENSE ENERGIA E PARTICIPAÇÕES,Emp. Adm. Part. - Energia Elétrica,Categoria A,,individual,utilities,cvm,22158000.0,-12496000.0
3549,0.0,0.0,0.0,463000.0,-278000.0,0.0,121000.0,545000.0,56299000.0,11000.0,11000.0,27156000.0,0.0,0.0,-6728000.0,padrao,dre,False,CIA INDUSTRIAL SCHLOSSER S.A.,Têxtil e Vestuário,Categoria A,,consolidado,industria,cvm,-278000.0,27035000.0
3654,177091000.0,115212000.0,19919000.0,59005000.0,-13117000.0,2274000.0,28045000.0,27521000.0,1432278000.0,0.0,,206785000.0,60976000.0,25906000.0,51454000.0,padrao,dva,False,CIA MELHORAMENTOS DE SAO PAULO,Papel e Celulose,Categoria A,BOLSA,consolidado,commodities,cvm,12789000.0,178740000.0
3824,16391071000.0,11876995000.0,425321000.0,537345000.0,3496866000.0,134036000.0,284418000.0,18655000.0,22954592000.0,974389000.0,,9445744000.0,613517000.0,0.0,1342030000.0,padrao,dre,False,CIA PAULISTA DE FORCA E LUZ,Energia Elétrica,Categoria B,BALCÃO ORGANIZADO,individual,utilities,cvm,3496866000.0,9161326000.0
3980,69858532000.0,61891039000.0,782351000.0,1338443000.0,3739068000.0,10249000.0,5929170000.0,14731081000.0,81688175000.0,12687092000.0,,14182151000.0,8081856000.0,3683585000.0,7987454000.0,padrao,dva,False,GERDAU S.A.,Metalurgia e Siderurgia,Categoria A,BOLSA,consolidado,commodities,cvm,7422653000.0,8252981000.0
4030,44797946000.0,32404221000.0,5033148000.0,979164000.0,4816674000.0,26497000.0,14421022000.0,10455500000.0,100575369000.0,11006125000.0,,52924547000.0,4506709000.0,4150475000.0,-973179000.0,padrao,dva,False,CIA SIDERURGICA NACIONAL,Metalurgia e Siderurgia,Categoria A,BOLSA,consolidado,commodities,cvm,8967149000.0,38503525000.0
4146,759038000.0,414952000.0,185748000.0,74353000.0,92718000.0,160000.0,14337000.0,203601000.0,736951000.0,12424000.0,,409773000.0,236184000.0,21885000.0,57712000.0,padrao,dva,False,KARSTEN S.A.,Têxtil e Vestuário,Categoria A,BOLSA,consolidado,industria,cvm,114603000.0,395436000.0
4170,213595000000.0,138887000000.0,0.0,3566000000.0,31969000000.0,0.0,40563000000.0,32666000000.0,476094000000.0,49261000000.0,,103457000000.0,16994000000.0,17306000000.0,48765000000.0,padrao,dva,False,VALE S.A.,Extração Mineral,Categoria A,BOLSA,consolidado,commodities,cvm,49275000000.0,62894000000.0
4448,398000.0,0.0,0.0,441000.0,35322000.0,0.0,0.0,0.0,135419000.0,0.0,,27897025000.0,0.0,2827000.0,0.0,padrao,dva,False,COBRASMA S.A.,"Máquinas, Equipamentos, Veículos e Peças",Categoria A,,consolidado,industria,cvm,38149000.0,27897025000.0
4537,744815000.0,345221000.0,231590000.0,74723000.0,55814000.0,32379000.0,147062000.0,148882000.0,1263495000.0,5417000.0,,0.0,142263000.0,33414000.0,148073000.0,padrao,dva,False,GRAZZIOTIN S.A.,Comércio (Atacado e Varejo),Categoria A,BOLSA,consolidado,varejo,cvm,89228000.0,-147062000.0
4669,10497046000.0,4114271000.0,3879079000.0,1452660000.0,2375728000.0,853280000.0,1415443000.0,1609563000.0,14872670000.0,970240000.0,,2463246000.0,1972470000.0,758497000.0,922562000.0,padrao,dva,False,GUARARAPES CONFECCOES S.A.,Têxtil e Vestuário,Categoria A,BOLSA,consolidado,industria,cvm,3134225000.0,1047803000.0
4693,828048000.0,589472000.0,100323000.0,46683000.0,112185000.0,4893000.0,110220000.0,413201000.0,1139456000.0,23815000.0,,382698000.0,123111000.0,15778000.0,89256000.0,padrao,dva,False,CONSERVAS ODERICH S.A.,Alimentos,Categoria A,BOLSA,consolidado,industria,cvm,127963000.0,272478000.0
4723,365614000.0,266312000.0,0.0,61151000.0,56424000.0,2581000.0,159049000.0,225524000.0,806908000.0,3896000.0,3896000.0,303778000.0,30999000.0,2447000.0,23400000.0,padrao,dva,False,CONSTRUTORA ADOLPHO LINDENBERG S.A.,"Construção Civil, Mat. Constr. e Decoração",Categoria A,BOLSA,consolidado,construcao,cvm,58871000.0,144729000.0
4782,2565000.0,408000.0,0.0,251493000.0,-244188000.0,0.0,7000.0,0.0,941287000.0,0.0,,13864971000.0,599000.0,408000.0,-13476000.0,padrao,dva,False,MENDES JUNIOR ENGENHARIA S.A.,"Construção Civil, Mat. Constr. e Decoração",Categoria A,,individual,construcao,cvm,-243780000.0,13864964000.0
4820,70717000000.0,69161000000.0,2067000000.0,3075000000.0,-1807000000.0,125000000.0,10501000000.0,10421000000.0,81879000000.0,3063000000.0,,51821000000.0,2324000000.0,4673000000.0,-4200000000.0,padrao,dva,False,BRASKEM S.A.,Petroquímicos e Borracha,Categoria A,BOLSA,consolidado,commodities,cvm,2866000000.0,41320000000.0
5207,623061000.0,501782000.0,98382000.0,53815000.0,-1256000.0,1018000.0,141191000.0,256686000.0,1047091000.0,16835000.0,16835000.0,183775000.0,222081000.0,20882000.0,63032000.0,padrao,dva,False,DOHLER S.A.,Têxtil e Vestuário,Categoria A,BOLSA,individual,industria,cvm,19626000.0,42584000.0
5258,44250449000.0,31285561000.0,8719372000.0,1570393000.0,2743567000.0,58413000.0,509619000.0,9576343000.0,25170475000.0,2051563000.0,,3867755000.0,4323727000.0,2013044000.0,2430654000.0,padrao,dva,False,RAIA DROGASIL S.A.,Comércio (Atacado e Varejo),Categoria A,BOLSA,consolidado,varejo,cvm,4756611000.0,3358136000.0
5312,1018848000.0,629219000.0,219794000.0,62967000.0,143273000.0,3846000.0,2929000.0,208491000.0,1453609000.0,28546000.0,3278000.0,542510000.0,203008000.0,16525000.0,-9654000.0,padrao,dva,False,MUNDIAL S.A. - PRODUTOS DE CONSUMO,Têxtil e Vestuário,Categoria A,BOLSA,consolidado,industria,cvm,159798000.0,539581000.0
5380,556054000.0,444295000.0,29276000.0,54292000.0,56646000.0,0.0,30061000.0,100498000.0,641114000.0,3930000.0,,107230000.0,170653000.0,22689000.0,81384000.0,padrao,dva,False,ELECTRO ACO ALTONA S.A.,Metalurgia e Siderurgia,Categoria A,BOLSA,consolidado,commodities,cvm,79335000.0,77169000.0
5410,40804110000.0,27122477000.0,3353431000.0,1513882000.0,7998741000.0,74336000.0,6296498000.0,9911053000.0,42645030000.0,2784989000.0,,4590822000.0,8705902000.0,1001296000.0,6451033000.0,padrao,dva,False,WEG S.A.,"Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças",Categoria A,BOLSA,consolidado,industria,cvm,9000037000.0,-1705676000.0
5576,4751788000.0,3363386000.0,0.0,251873000.0,1093845000.0,68934000.0,104130000.0,17080000.0,8113319000.0,896044000.0,,5410820000.0,133222000.0,217809000.0,919233000.0,padrao,dva,False,ENERGISA MATO GROSSO DO SUL - DIST DE ENERGIA S.A.,Energia Elétrica,Categoria B,BOLSA,individual,utilities,cvm,1311654000.0,5306690000.0
5762,1150164000.0,913139000.0,114482000.0,97129000.0,61002000.0,3117000.0,24850000.0,205660000.0,1363317000.0,75177000.0,12166000.0,154625000.0,239058000.0,50650000.0,78218000.0,padrao,dva,False,ETERNIT S.A.,"Construção Civil, Mat. Constr. e Decoração",Categoria A,BOLSA,consolidado,construcao,cvm,111652000.0,129775000.0
5770,3104252000.0,1949714000.0,489684000.0,123770000.0,525658000.0,4595000.0,529114000.0,798537000.0,4984659000.0,23019000.0,,1106907000.0,438543000.0,304046000.0,521445000.0,padrao,dva,False,EUCATEX S.A. INDUSTRIA E COMERCIO,"Construção Civil, Mat. Constr. e Decoração",Categoria A,BOLSA,consolidado,construcao,cvm,829704000.0,577793000.0
5983,1837000.0,169000.0,0.0,0.0,1668000.0,0.0,52000.0,0.0,3036000.0,32000.0,,22871000.0,0.0,0.0,-9650000.0,padrao,dva,False,FIACAO E TECELAGEM SAO JOSE SA EM RECUPERACAO JUDICIAL,Têxtil e Vestuário,Categoria A,,consolidado,industria,cvm,1668000.0,22819000.0
6173,1463029000.0,960794000.0,219922000.0,274336000.0,52112000.0,8550000.0,67547000.0,775378000.0,2586405000.0,190243000.0,,907295000.0,201150000.0,53768000.0,12939000.0,padrao,dva,False,TAURUS ARMAS S.A.,"Máquinas, Equipamentos, Veículos e Peças",Categoria A,BOLSA,consolidado,industria,cvm,105880000.0,839748000.0
